episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef,clip_range
10,440,0.2,0.2,10.5,1.3,0.00999208,0.19995600000000002
20,888,0.2,0.2,8.25,2.1,0.009984016,0.1999112
30,1350,0.13333333333333333,0.13333333333333333,8.25,2.7333333333333334,0.0099757,0.19986500000000001
40,1827,0.125,0.125,7.4,3.275,0.009967114000000001,0.1998173
50,2314,0.14,0.14,7.285714285714286,3.74,0.009958348,0.19976860000000002
60,2767,0.13333333333333333,0.13333333333333333,7.125,4.3,0.009950194,0.19972330000000002
70,3244,0.12857142857142856,0.12857142857142856,7.222222222222222,4.928571428571429,0.009941608,0.1996756
80,3744,0.1625,0.1625,9.384615384615385,5.675,0.009932608,0.19962560000000001
90,4182,0.14444444444444443,0.14444444444444443,9.384615384615385,6.488888888888889,0.009924724,0.1995818
100,4657,0.16,0.16,9.4375,7.34,0.009916174,0.1995343
110,5148,0.14,0.14,9.4375,8.81,0.009907336000000001,0.1994852
120,5629,0.15,0.15,9.947368421052632,10.27,0.009898678000000001,0.1994371
130,6096,0.16,0.16,10.0,11.86,0.009890272,0.19939040000000002
140,6579,0.16,0.16,10.761904761904763,13.44,0.009881578,0.19934210000000002
150,7047,0.15,0.15,10.454545454545455,14.99,0.009873154,0.1992953
160,7529,0.16,0.16,10.166666666666666,16.57,0.009864478,0.1992471
170,8024,0.16,0.16,11.32,18.19,0.009855568,0.1991976
180,8514,0.16,0.16,10.413793103448276,19.86,0.009846748,0.1991486
190,9012,0.17,0.17,10.266666666666667,21.52,0.009837784,0.19909880000000002
200,9494,0.19,0.19,12.371428571428572,23.41,0.009829108,0.19905060000000002
210,9983,0.23,0.23,12.282051282051283,25.48,0.009820306000000001,0.1990017
220,10446,0.24,0.24,12.930232558139535,27.83,0.009811972,0.1989554
230,10907,0.26,0.26,12.956521739130435,30.35,0.009803674,0.1989093
240,11377,0.27,0.27,13.145833333333334,32.97,0.009795214,0.19886230000000002
250,11860,0.28,0.28,13.06,35.73,0.00978652,0.19881400000000002
260,12324,0.29,0.29,13.660377358490566,38.68,0.009778168,0.19876760000000002
270,12804,0.33,0.33,13.24561403508772,41.69,0.009769528,0.19871960000000002
280,13271,0.35,0.35,12.919354838709678,44.92,0.009761122,0.1986729
290,13726,0.38,0.38,12.863636363636363,48.4,0.009752932,0.1986274
300,14189,0.37,0.37,12.528571428571428,51.88,0.009744598,0.1985811
310,14662,0.36,0.36,13.082191780821917,55.28,0.009736084,0.1985338
320,15133,0.34,0.34,13.066666666666666,58.61,0.009727606,0.19848670000000002
330,15610,0.34,0.34,13.217948717948717,61.76,0.00971902,0.198439
340,16084,0.32,0.32,13.217948717948717,64.87,0.009710488,0.1983916
350,16537,0.32,0.32,13.1625,67.97,0.009702334,0.1983463
360,17018,0.32,0.32,13.19277108433735,70.83,0.009693676,0.1982982
370,17476,0.3,0.3,13.046511627906977,73.83,0.009685432,0.19825240000000002
380,17948,0.26,0.26,13.056818181818182,76.48,0.009676936,0.1982052
390,18442,0.24,0.24,13.011111111111111,78.97,0.009668044,0.19815580000000002
400,18913,0.23,0.23,12.989247311827956,81.33,0.009659566,0.1981087
410,19387,0.21,0.21,12.872340425531915,83.57,0.009651034,0.19806130000000002
420,19875,0.22,0.22,12.762886597938145,85.72,0.00964225,0.1980125
430,20353,0.23,0.23,12.57,87.96,0.009633646000000001,0.19796470000000002
440,20843,0.27,0.27,12.89,90.16,0.009624826,0.1979157
450,21319,0.28,0.28,13.07,92.19,0.009616258,0.19786810000000002
460,21785,0.27,0.27,12.8,94.09,0.009607870000000001,0.1978215
470,22252,0.26,0.26,13.34,95.59,0.009599464,0.1977748
480,22724,0.27,0.27,13.96,96.95,0.009590968,0.1977276
490,23218,0.25,0.25,13.96,98.02,0.009582076,0.1976782
500,23702,0.23,0.23,13.89,98.79,0.009573364000000001,0.19762980000000002
510,24193,0.27,0.27,14.07,99.48,0.009564526,0.1975807
520,24635,0.26,0.26,14.3,99.9,0.00955657,0.1975365
530,25097,0.25,0.25,13.92,100.0,0.009548254,0.1974903
540,25595,0.25,0.25,14.16,100.0,0.00953929,0.19744050000000002
550,26091,0.24,0.24,14.24,100.0,0.009530362,0.1973909
560,26548,0.23,0.23,14.02,100.0,0.009522136,0.1973452
570,27032,0.24,0.24,13.57,100.0,0.009513424,0.19729680000000002
580,27532,0.22,0.22,13.36,100.0,0.009504424000000001,0.1972468
590,28025,0.27,0.27,13.83,100.0,0.00949555,0.1971975
600,28510,0.31,0.31,13.54,100.0,0.00948682,0.19714900000000002
610,28993,0.29,0.29,13.27,100.0,0.009478126,0.19710070000000002
620,29472,0.29,0.29,13.15,100.0,0.009469504,0.1970528
630,29972,0.27,0.27,12.93,100.0,0.009460504,0.1970028
640,30443,0.25,0.25,13.0,100.0,0.009452026,0.1969557
650,30915,0.25,0.25,13.19,100.0,0.00944353,0.19690850000000001
660,31414,0.27,0.27,13.65,100.0,0.009434548000000001,0.19685860000000002
670,31873,0.25,0.25,13.81,100.0,0.009426286,0.1968127
680,32357,0.28,0.28,13.99,100.0,0.009417574,0.1967643
690,32830,0.24,0.24,14.01,100.0,0.00940906,0.196717
700,33330,0.24,0.24,14.01,100.0,0.00940006,0.196667
710,33793,0.25,0.25,13.86,100.0,0.009391726,0.1966207
720,34266,0.25,0.25,14.02,100.0,0.009383212,0.1965734
730,34734,0.26,0.26,13.9,100.0,0.009374788,0.19652660000000002
740,35195,0.27,0.27,13.63,100.0,0.00936649,0.1964805
750,35673,0.27,0.27,13.72,100.0,0.009357886,0.19643270000000002
760,36135,0.26,0.26,13.59,100.0,0.00934957,0.19638650000000002
770,36595,0.27,0.27,13.57,100.0,0.00934129,0.1963405
780,37094,0.26,0.26,13.82,100.0,0.009332308000000001,0.1962906
790,37580,0.27,0.27,13.95,100.0,0.00932356,0.196242
800,38026,0.24,0.24,13.77,100.0,0.009315532,0.19619740000000002
810,38499,0.22,0.22,13.9,100.0,0.009307018,0.19615010000000002
820,38986,0.24,0.24,13.96,100.0,0.009298252,0.1961014
830,39474,0.26,0.26,14.05,100.0,0.009289468,0.19605260000000002
840,39923,0.26,0.26,13.98,100.0,0.009281386,0.1960077
850,40401,0.27,0.27,13.88,100.0,0.009272782,0.19595990000000002
860,40891,0.31,0.31,13.13,100.0,0.009263962,0.1959109
870,41365,0.32,0.32,13.11,100.0,0.00925543,0.19586350000000002
880,41861,0.32,0.32,12.73,100.0,0.009246502,0.1958139
890,42335,0.33,0.33,12.44,100.0,0.00923797,0.1957665
900,42797,0.34,0.34,12.61,100.0,0.009229654,0.1957203
910,43261,0.36,0.36,12.71,100.0,0.009221302,0.1956739
920,43710,0.32,0.32,12.71,100.0,0.00921322,0.195629
930,44188,0.32,0.32,12.93,100.0,0.009204616,0.1955812
940,44671,0.3,0.3,12.89,100.0,0.009195922,0.1955329
950,45124,0.27,0.27,12.89,100.0,0.009187768,0.1954876
960,45602,0.24,0.24,12.89,100.0,0.009179164,0.1954398
970,46064,0.24,0.24,12.72,100.0,0.009170848,0.1953936
980,46560,0.25,0.25,12.77,100.0,0.00916192,0.19534400000000002
990,47053,0.25,0.25,12.72,100.0,0.009153046,0.19529470000000002
1000,47551,0.27,0.27,12.7,100.0,0.009144082,0.1952449
1010,48029,0.27,0.27,12.2,100.0,0.009135478,0.1951971
1020,48501,0.29,0.29,11.89,100.0,0.009126982,0.19514990000000002
1030,48952,0.26,0.26,12.19,100.0,0.009118864,0.19510480000000002
1040,49449,0.29,0.29,11.87,100.0,0.009109918,0.1950551
1050,49926,0.33,0.33,12.31,100.0,0.009101332,0.1950074
1060,50368,0.32,0.32,12.29,100.0,0.009093376,0.1949632
1070,50829,0.33,0.33,12.29,100.0,0.009085078,0.1949171
1080,51299,0.33,0.33,12.13,100.0,0.009076618,0.19487010000000002
1090,51757,0.35,0.35,12.22,100.0,0.009068374,0.1948243
1100,52246,0.36,0.36,12.14,100.0,0.009059572,0.19477540000000002
1110,52721,0.34,0.34,11.81,100.0,0.009051022,0.1947279
1120,53190,0.35,0.35,11.88,100.0,0.00904258,0.19468100000000002
1130,53659,0.35,0.35,11.92,100.0,0.009034138,0.1946341
