episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef,clip_range
10,479,0.1,0.1,28.0,0.3,0.009995689,0.19997605000000002
20,965,0.1,0.1,19.5,0.8,0.009991315,0.19995175
30,1420,0.13333333333333333,0.13333333333333333,21.25,1.7,0.00998722,0.19992900000000002
40,1891,0.1,0.1,21.25,2.275,0.009982981,0.19990545
50,2320,0.1,0.1,19.8,2.66,0.009979120000000001,0.199884
60,2768,0.11666666666666667,0.11666666666666667,23.142857142857142,3.25,0.009975088,0.1998616
70,3239,0.11428571428571428,0.11428571428571428,23.0,3.9,0.009970849,0.19983805000000002
80,3646,0.1125,0.1125,22.444444444444443,4.5,0.009967186,0.19981770000000001
90,4114,0.12222222222222222,0.12222222222222222,23.0,5.155555555555556,0.009962974,0.1997943
100,4572,0.11,0.11,23.0,5.74,0.009958852,0.19977140000000002
110,5040,0.1,0.1,23.0,6.81,0.00995464,0.199748
120,5522,0.1,0.1,25.083333333333332,7.88,0.009950302,0.1997239
130,5966,0.08,0.08,25.083333333333332,8.73,0.009946306,0.1997017
140,6402,0.1,0.1,22.5,9.6,0.009942382,0.19967990000000002
150,6835,0.1,0.1,22.0,10.62,0.009938485,0.19965825
160,7271,0.08,0.08,22.0,11.5,0.009934561,0.19963645000000002
170,7760,0.07,0.07,22.0,12.22,0.00993016,0.199612
180,8218,0.08,0.08,20.294117647058822,12.91,0.009926038,0.19958910000000002
190,8610,0.06,0.06,20.294117647058822,13.57,0.00992251,0.1995695
200,8985,0.09,0.09,18.2,14.42,0.009919135,0.19955075
210,9405,0.09,0.09,18.2,15.32,0.009915355,0.19952975
220,9826,0.1,0.1,17.714285714285715,16.18,0.009911566,0.1995087
230,10269,0.11,0.11,17.181818181818183,17.13,0.009907579,0.19948655
240,10699,0.09,0.09,17.181818181818183,18.06,0.009903709,0.19946505
250,11136,0.1,0.1,17.458333333333332,18.95,0.009899776,0.19944320000000001
260,11573,0.1,0.1,17.458333333333332,19.85,0.009895843,0.19942135
270,12009,0.14,0.14,16.821428571428573,20.98,0.009891919,0.19939955
280,12443,0.12,0.12,16.821428571428573,22.22,0.009888013000000001,0.19937785000000002
290,12877,0.14,0.14,16.3,23.41,0.009884107,0.19935615
300,13286,0.13,0.13,17.34375,24.58,0.009880426,0.1993357
310,13753,0.13,0.13,17.34375,25.78,0.009876223,0.19931235
320,14205,0.14,0.14,17.41176470588235,27.03,0.009872155,0.19928975000000002
330,14640,0.14,0.14,17.314285714285713,28.31,0.00986824,0.199268
340,15070,0.14,0.14,17.314285714285713,29.61,0.00986437,0.19924650000000002
350,15478,0.14,0.14,17.945945945945947,30.87,0.009860698,0.19922610000000002
360,15937,0.15,0.15,18.57894736842105,32.27,0.009856567,0.19920315000000002
370,16389,0.12,0.12,18.512820512820515,33.52,0.009852499,0.19918055
380,16830,0.15,0.15,18.904761904761905,34.88,0.00984853,0.19915850000000002
390,17263,0.14,0.14,19.209302325581394,36.22,0.009844633,0.19913685
400,17731,0.13,0.13,19.522727272727273,37.42,0.009840421,0.19911345
410,18178,0.15,0.15,19.956521739130434,38.76,0.009836398,0.19909110000000002
420,18584,0.13,0.13,19.95744680851064,40.1,0.009832744000000001,0.19907080000000002
430,19012,0.13,0.13,19.895833333333332,41.38,0.009828892,0.19904940000000002
440,19443,0.13,0.13,19.895833333333332,42.68,0.009825013,0.19902785
450,19836,0.12,0.12,19.816326530612244,43.93,0.009821476,0.19900820000000002
460,20295,0.13,0.13,20.058823529411764,45.1,0.009817345,0.19898525
470,20738,0.13,0.13,19.78846153846154,46.35,0.009813358,0.1989631
480,21154,0.12,0.12,20.01851851851852,47.54,0.009809614,0.19894230000000002
490,21617,0.12,0.12,19.98181818181818,48.77,0.009805447,0.19891915000000002
500,22034,0.13,0.13,19.649122807017545,50.11,0.009801694,0.1988983
510,22482,0.16,0.16,19.360655737704917,51.51,0.009797662,0.19887590000000002
520,22934,0.18,0.18,19.140625,53.21,0.009793594000000001,0.1988533
530,23364,0.19,0.19,18.893939393939394,54.94,0.009789724,0.1988318
540,23792,0.22,0.22,18.764705882352942,56.86,0.009785872000000001,0.1988104
550,24195,0.24,0.24,18.943661971830984,58.94,0.009782245,0.19879025
560,24605,0.23,0.23,19.01388888888889,61.16,0.009778555,0.19876975000000002
570,25052,0.24,0.24,19.04054054054054,63.26,0.009774532,0.19874740000000002
580,25466,0.26,0.26,18.935897435897434,65.53,0.009770806,0.1987267
590,25899,0.28,0.28,18.74074074074074,68.08,0.009766909,0.19870505000000002
600,26328,0.3,0.3,18.764705882352942,70.72,0.009763048,0.19868360000000002
610,26781,0.27,0.27,19.114942528735632,73.39,0.009758971,0.19866095
620,27197,0.24,0.24,19.114942528735632,75.74,0.009755227,0.19864015000000002
630,27659,0.25,0.25,19.322222222222223,78.24,0.009751069,0.19861705000000002
640,28072,0.23,0.23,19.24175824175824,80.55,0.009747352,0.1985964
650,28557,0.23,0.23,19.69148936170213,82.85,0.009742987,0.19857215
660,29026,0.24,0.24,19.8125,85.12,0.009738766,0.19854870000000002
670,29452,0.23,0.23,19.742268041237114,87.59,0.009734932,0.19852740000000002
680,29901,0.22,0.22,19.94,89.9,0.009730891,0.19850495
690,30298,0.23,0.23,19.65,92.11,0.009727318,0.1984851
700,30720,0.2,0.2,19.57,94.26,0.00972352,0.198464
710,31165,0.18,0.18,19.57,96.15,0.009719515,0.19844175
720,31594,0.18,0.18,19.57,97.95,0.009715654,0.19842030000000002
730,32072,0.16,0.16,19.35,99.56,0.009711352,0.1983964
740,32538,0.2,0.2,19.01,101.28,0.009707158,0.19837310000000002
750,32984,0.19,0.19,19.12,103.15,0.009703144,0.19835080000000002
760,33380,0.2,0.2,19.17,105.02,0.00969958,0.198331
770,33828,0.21,0.21,19.3,106.82,0.009695548,0.1983086
780,34252,0.2,0.2,19.64,108.54,0.009691732,0.1982874
790,34666,0.18,0.18,19.95,110.24,0.009688006,0.19826670000000002
800,35094,0.2,0.2,20.45,111.98,0.009684154,0.1982453
810,35513,0.24,0.24,20.69,113.98,0.009680383,0.19822435000000002
820,35879,0.25,0.25,20.67,116.28,0.009677089,0.19820605000000002
830,36334,0.27,0.27,20.5,118.65,0.009672994,0.1981833
840,36780,0.26,0.26,20.55,121.22,0.00966898,0.198161
850,37244,0.28,0.28,20.19,123.92,0.009664804,0.1981378
860,37673,0.27,0.27,20.0,126.63,0.009660943,0.19811635
870,38135,0.26,0.26,19.83,129.33,0.009656785,0.19809325
880,38563,0.25,0.25,19.8,131.94,0.009652933,0.19807185000000002
890,38999,0.24,0.24,19.74,134.33,0.009649009,0.19805005
900,39448,0.22,0.22,19.92,136.56,0.009644968,0.1980276
910,39911,0.2,0.2,19.57,138.72,0.009640801000000001,0.19800445
920,40353,0.21,0.21,19.48,140.72,0.009636823000000001,0.19798235
930,40753,0.19,0.19,19.38,142.78,0.009633223,0.19796235
940,41185,0.17,0.17,19.6,144.53,0.009629335,0.19794075
950,41606,0.15,0.15,19.6,145.98,0.009625546,0.1979197
960,41998,0.14,0.14,19.24,147.3,0.009622018,0.19790010000000002
970,42425,0.15,0.15,19.34,148.54,0.009618175,0.19787875000000002
980,42902,0.17,0.17,19.23,149.97,0.009613882,0.1978549
990,43318,0.19,0.19,19.46,151.67,0.009610138,0.1978341
1000,43712,0.18,0.18,19.46,153.35,0.009606592,0.1978144
1010,44161,0.18,0.18,19.41,154.92,0.009602551,0.19779195000000002
1020,44611,0.19,0.19,19.26,156.6,0.009598501,0.19776945
1030,45050,0.18,0.18,19.26,158.22,0.00959455,0.19774750000000002
1040,45457,0.17,0.17,19.29,159.76,0.009590887,0.19772715000000002
1050,45875,0.15,0.15,19.29,161.22,0.009587125,0.19770625
1060,46252,0.15,0.15,19.14,162.57,0.009583732,0.1976874
1070,46671,0.14,0.14,19.16,163.96,0.009579961,0.19766645000000002
1080,47115,0.14,0.14,18.75,165.42,0.009575965,0.19764425000000002
1090,47500,0.14,0.14,18.7,166.74,0.0095725,0.19762500000000002
1100,47939,0.19,0.19,18.8,168.18,0.009568549,0.19760305
1110,48378,0.19,0.19,18.77,169.83,0.009564598,0.1975811
1120,48829,0.17,0.17,18.79,171.39,0.009560539,0.19755855
1130,49278,0.2,0.2,18.46,173.1,0.009556498,0.19753610000000002
1140,49728,0.22,0.22,18.27,175.0,0.009552448,0.1975136
1150,50135,0.25,0.25,18.11,177.19,0.009548785,0.19749325
1160,50572,0.26,0.26,18.3,179.65,0.009544852,0.19747140000000002
1170,51027,0.26,0.26,18.29,182.12,0.009540757,0.19744865
1180,51401,0.25,0.25,17.92,184.4,0.009537391000000001,0.19742995000000002
1190,51842,0.23,0.23,17.84,186.59,0.009533422,0.1974079
1200,52215,0.19,0.19,17.86,188.68,0.009530065,0.19738925000000002
1210,52683,0.19,0.19,17.53,190.63,0.009525853,0.19736585
1220,53161,0.21,0.21,17.79,192.54,0.009521551,0.19734195000000002
1230,53594,0.19,0.19,17.73,194.23,0.009517654,0.1973203
1240,53987,0.2,0.2,17.89,195.72,0.009514117,0.19730065000000002
1250,54453,0.21,0.21,17.99,196.83,0.009509923,0.19727735000000002
1260,54897,0.22,0.22,17.39,197.66,0.009505927,0.19725515000000002
1270,55323,0.26,0.26,17.64,198.36,0.009502093,0.19723385000000002
1280,55806,0.24,0.24,17.64,198.93,0.009497746,0.19720970000000002
1290,56226,0.28,0.28,17.76,199.41,0.009493966,0.19718870000000002
1300,56611,0.28,0.28,17.34,199.78,0.009490501,0.19716945000000002
1310,57057,0.28,0.28,17.09,199.95,0.009486487,0.19714715000000002
1320,57534,0.26,0.26,16.98,200.0,0.009482194,0.1971233
1330,57954,0.28,0.28,16.92,200.0,0.009478414000000001,0.1971023
1340,58366,0.3,0.3,17.11,200.0,0.009474706,0.1970817
1350,58767,0.27,0.27,17.25,200.0,0.009471097,0.19706165
1360,59246,0.25,0.25,17.52,200.0,0.009466786,0.1970377
1370,59622,0.21,0.21,17.28,200.0,0.009463402,0.1970189
1380,60054,0.22,0.22,17.26,200.0,0.009459514,0.19699730000000001
1390,60446,0.18,0.18,17.19,200.0,0.009455986,0.1969777
1400,60866,0.19,0.19,17.14,200.0,0.009452206,0.1969567
1410,61338,0.2,0.2,16.99,200.0,0.009447958,0.1969331
1420,61781,0.21,0.21,17.12,200.0,0.009443971,0.19691095
1430,62228,0.22,0.22,17.46,200.0,0.009439948,0.1968886
1440,62627,0.19,0.19,17.58,200.0,0.009436357,0.19686865
1450,63102,0.22,0.22,17.7,200.0,0.009432082,0.19684490000000002
1460,63580,0.24,0.24,18.24,200.0,0.00942778,0.19682100000000002
1470,64022,0.26,0.26,18.23,200.0,0.009423802,0.1967989
1480,64428,0.3,0.3,18.86,200.0,0.009420148,0.1967786
1490,64848,0.3,0.3,19.02,200.0,0.009416368,0.1967576
1500,65285,0.3,0.3,19.61,200.0,0.009412435,0.19673575000000001
1510,65732,0.27,0.27,19.61,200.0,0.009408412,0.1967134
1520,66165,0.26,0.26,19.56,200.0,0.009404515,0.19669175
1530,66598,0.24,0.24,19.99,200.0,0.009400618,0.19667010000000001
1540,67007,0.22,0.22,19.9,200.0,0.009396937000000001,0.19664965
1550,67452,0.23,0.23,20.44,200.0,0.009392932,0.1966274
1560,67903,0.21,0.21,20.56,200.0,0.009388873,0.19660485
1570,68347,0.21,0.21,20.48,200.0,0.009384877,0.19658265
1580,68783,0.18,0.18,20.86,200.0,0.009380953000000001,0.19656085
1590,69184,0.18,0.18,20.72,200.0,0.009377344,0.19654080000000002
1600,69619,0.19,0.19,20.81,200.0,0.009373429,0.19651905
1610,70065,0.22,0.22,20.72,200.0,0.009369415,0.19649675
1620,70537,0.25,0.25,20.37,200.0,0.009365167,0.19647315
1630,70965,0.29,0.29,20.84,200.0,0.009361315,0.19645175
1640,71405,0.3,0.3,20.54,200.0,0.009357355,0.19642975000000001
1650,71850,0.28,0.28,20.53,200.0,0.00935335,0.1964075
1660,72290,0.29,0.29,20.65,200.0,0.00934939,0.19638550000000002
1670,72712,0.26,0.26,20.65,200.0,0.009345592,0.19636440000000002
1680,73131,0.27,0.27,20.92,200.0,0.009341821,0.19634345
1690,73589,0.28,0.28,21.16,200.0,0.009337699,0.19632055
1700,73997,0.26,0.26,21.22,200.0,0.009334027,0.19630015
1710,74477,0.26,0.26,21.14,200.0,0.009329707,0.19627615
1720,74925,0.27,0.27,20.91,200.0,0.009325675,0.19625375
1730,75335,0.22,0.22,20.97,200.0,0.009321985,0.19623325
1740,75793,0.21,0.21,21.09,200.0,0.009317863000000001,0.19621035
1750,76240,0.2,0.2,21.36,200.0,0.00931384,0.196188
1760,76699,0.2,0.2,21.62,200.0,0.009309709,0.19616505
1770,77101,0.21,0.21,21.6,200.0,0.009306091,0.19614495
1780,77552,0.22,0.22,22.07,200.0,0.009302032,0.1961224
1790,77967,0.24,0.24,21.67,200.0,0.009298297,0.19610165000000002
1800,78434,0.28,0.28,21.22,200.0,0.009294094,0.1960783
1810,78869,0.26,0.26,21.2,200.0,0.009290179,0.19605655
1820,79325,0.23,0.23,21.57,200.0,0.009286075,0.19603375
1830,79759,0.25,0.25,21.51,200.0,0.009282169,0.19601205000000002
1840,80221,0.26,0.26,21.47,200.0,0.009278011,0.19598895000000002
1850,80663,0.27,0.27,21.1,200.0,0.009274033000000001,0.19596685
1860,81096,0.28,0.28,20.75,200.0,0.009270136,0.1959452
1870,81517,0.29,0.29,20.62,200.0,0.009266347,0.19592415000000002
1880,81956,0.27,0.27,20.57,200.0,0.009262396,0.1959022
