episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef,clip_range
10,409,0.0,0.0,0.0,0.0,0.009996319,0.19997955
20,830,0.0,0.0,0.0,0.0,0.00999253,0.1999585
30,1319,0.06666666666666667,0.06666666666666667,32.5,0.43333333333333335,0.009988129,0.19993405
40,1796,0.05,0.05,32.5,0.825,0.009983836,0.1999102
50,2254,0.06,0.06,28.0,1.1,0.009979714,0.19988730000000002
60,2702,0.08333333333333333,0.08333333333333333,23.6,1.6166666666666667,0.009975682,0.1998649
70,3171,0.07142857142857142,0.07142857142857142,23.6,2.1,0.009971461000000001,0.19984145
80,3618,0.0625,0.0625,23.6,2.4625,0.009967438,0.1998191
90,4106,0.08888888888888889,0.08888888888888889,28.142857142857142,2.922222222222222,0.009963046,0.19979470000000002
100,4590,0.1,0.1,27.88888888888889,3.41,0.009958690000000001,0.19977050000000002
110,5041,0.12,0.12,26.727272727272727,4.39,0.009954631,0.19974795
120,5467,0.14,0.14,26.53846153846154,5.61,0.009950797,0.19972665
130,5911,0.13,0.13,26.214285714285715,6.83,0.009946801,0.19970445
140,6351,0.13,0.13,26.214285714285715,8.03,0.009942841000000001,0.19968245
150,6793,0.13,0.13,24.866666666666667,9.28,0.009938863000000001,0.19966035000000001
160,7265,0.11,0.11,24.866666666666667,10.36,0.009934615,0.19963675
170,7727,0.13,0.13,24.11764705882353,11.47,0.009930457,0.19961365
180,8215,0.16,0.16,24.8,12.86,0.009926065,0.19958925000000002
190,8682,0.13,0.13,24.8,14.2,0.009921862,0.19956590000000002
200,9120,0.12,0.12,25.095238095238095,15.52,0.00991792,0.199544
210,9610,0.14,0.14,23.0,16.86,0.00991351,0.19951950000000002
220,10091,0.13,0.13,22.73076923076923,18.24,0.009909181,0.19949545000000002
230,10556,0.12,0.12,22.73076923076923,19.49,0.009904996000000001,0.19947220000000002
240,11027,0.16,0.16,22.733333333333334,20.99,0.009900757,0.19944865
250,11511,0.16,0.16,22.70967741935484,22.57,0.009896401,0.19942445
260,11979,0.19,0.19,23.676470588235293,24.29,0.009892189000000001,0.19940105000000002
270,12400,0.18,0.18,23.17142857142857,26.18,0.0098884,0.19938
280,12830,0.18,0.18,23.210526315789473,27.98,0.00988453,0.19935850000000002
290,13292,0.2,0.2,23.65,29.87,0.009880372,0.19933540000000002
300,13746,0.22,0.22,24.162790697674417,31.9,0.009876286,0.1993127
310,14198,0.19,0.19,24.568181818181817,33.96,0.009872218,0.1992901
320,14675,0.18,0.18,24.568181818181817,35.76,0.009867925,0.19926625
330,15099,0.2,0.2,24.108695652173914,37.7,0.009864109,0.19924505
340,15564,0.19,0.19,24.244897959183675,39.5,0.009859924,0.1992218
350,16021,0.19,0.19,24.06,41.45,0.009855811,0.19919895
360,16483,0.18,0.18,23.692307692307693,43.27,0.009851653,0.19917585000000002
370,16934,0.2,0.2,23.563636363636363,45.16,0.009847594,0.1991533
380,17415,0.18,0.18,23.75,47.04,0.009843265,0.19912925
390,17875,0.18,0.18,23.862068965517242,48.82,0.009839125,0.19910625
400,18350,0.15,0.15,23.862068965517242,50.49,0.009834850000000001,0.19908250000000002
410,18793,0.14,0.14,23.862068965517242,51.91,0.009830863,0.19906035
420,19262,0.16,0.16,23.95,53.4,0.009826642,0.19903690000000002
430,19747,0.16,0.16,23.580645161290324,55.0,0.009822277,0.19901265
440,20168,0.14,0.14,23.634920634920636,56.53,0.009818488,0.19899160000000002
450,20632,0.16,0.16,23.03030303030303,57.99,0.009814312,0.19896840000000002
460,21092,0.15,0.15,22.761194029850746,59.65,0.009810172,0.19894540000000002
470,21560,0.12,0.12,22.761194029850746,60.96,0.00980596,0.19892200000000002
480,21997,0.11,0.11,22.761194029850746,62.09,0.009802027,0.19890015
490,22447,0.11,0.11,23.043478260869566,63.18,0.009797977,0.19887765000000002
500,22903,0.12,0.12,22.885714285714286,64.34,0.009793873,0.19885485
510,23350,0.14,0.14,22.5,65.7,0.009789850000000001,0.19883250000000002
520,23783,0.15,0.15,22.283783783783782,67.12,0.009785953,0.19881085
530,24269,0.15,0.15,22.486842105263158,68.56,0.009781579,0.19878655
540,24713,0.15,0.15,22.74025974025974,69.99,0.009777583,0.19876435
550,25165,0.14,0.14,22.79746835443038,71.34,0.009773515,0.19874175000000002
560,25607,0.14,0.14,23.1375,72.59,0.009769537,0.19871965
570,26101,0.18,0.18,23.19277108433735,74.08,0.009765091,0.19869495
580,26585,0.2,0.2,23.04705882352941,75.87,0.009760735,0.19867075
590,27038,0.22,0.22,23.0,77.87,0.009756658,0.19864810000000002
600,27493,0.24,0.24,22.98913043478261,80.05,0.009752563,0.19862535
610,27945,0.23,0.23,22.838709677419356,82.12,0.009748495,0.19860275000000002
620,28394,0.21,0.21,22.74468085106383,84.13,0.009744454,0.19858030000000002
630,28882,0.23,0.23,22.536082474226806,86.08,0.009740062,0.1985559
640,29310,0.26,0.26,22.41,88.3,0.00973621,0.1985345
650,29740,0.27,0.27,22.02,90.67,0.00973234,0.19851300000000002
660,30201,0.29,0.29,21.96,93.22,0.009728191,0.19848995
670,30624,0.28,0.28,21.98,95.74,0.009724384,0.1984688
680,31114,0.28,0.28,22.27,98.2,0.009719974000000001,0.19844430000000002
690,31583,0.28,0.28,22.03,100.82,0.009715753,0.19842085
700,32027,0.28,0.28,21.86,103.34,0.009711757,0.19839865
710,32442,0.29,0.29,21.91,106.09,0.009708022,0.19837790000000002
720,32899,0.3,0.3,21.95,108.82,0.009703909,0.19835505
730,33353,0.26,0.26,21.95,111.49,0.009699823,0.19833235000000002
740,33820,0.25,0.25,22.46,113.97,0.00969562,0.198309
750,34286,0.22,0.22,22.46,116.29,0.009691426,0.1982857
760,34732,0.22,0.22,22.25,118.47,0.009687412,0.1982634
770,35176,0.19,0.19,22.25,120.56,0.009683416,0.1982412
780,35649,0.21,0.21,22.3,122.6,0.009679159,0.19821755000000002
790,36076,0.18,0.18,21.99,124.38,0.009675316,0.19819620000000002
800,36538,0.17,0.17,21.76,126.0,0.009671158000000001,0.19817310000000002
810,37006,0.16,0.16,21.86,127.44,0.009666946000000001,0.1981497
820,37491,0.16,0.16,21.83,128.96,0.009662581,0.19812545
830,37944,0.18,0.18,21.63,130.49,0.009658504,0.19810280000000002
840,38425,0.17,0.17,21.72,132.14,0.009654175000000001,0.19807875
850,38889,0.2,0.2,21.43,133.92,0.009649999,0.19805555
860,39349,0.18,0.18,21.37,135.73,0.009645859,0.19803255
870,39772,0.19,0.19,21.38,137.49,0.009642052,0.1980114
880,40251,0.18,0.18,21.37,139.28,0.009637741,0.19798745
890,40719,0.2,0.2,21.26,141.06,0.009633529,0.19796405
900,41178,0.21,0.21,21.6,142.98,0.009629398,0.1979411
910,41590,0.22,0.22,21.4,144.93,0.009625690000000001,0.1979205
920,42075,0.22,0.22,21.2,146.94,0.009621325,0.19789625000000002
930,42520,0.22,0.22,20.96,149.06,0.00961732,0.19787400000000002
940,42977,0.23,0.23,20.97,151.09,0.009613207,0.19785115
950,43472,0.23,0.23,21.11,153.17,0.009608752,0.1978264
960,43928,0.22,0.22,21.11,155.18,0.009604648,0.19780360000000002
970,44406,0.22,0.22,21.24,157.21,0.009600346000000001,0.1977797
980,44875,0.21,0.21,21.57,159.12,0.009596125,0.19775625000000002
990,45368,0.22,0.22,21.68,161.17,0.009591688000000001,0.1977316
1000,45791,0.2,0.2,21.66,163.22,0.009587881,0.19771045
1010,46256,0.2,0.2,21.97,165.24,0.009583696000000001,0.1976872
1020,46719,0.22,0.22,21.43,167.29,0.009579529,0.19766405
1030,47149,0.22,0.22,20.97,169.42,0.009575659,0.19764255
1040,47589,0.2,0.2,21.06,171.56,0.009571699,0.19762055
1050,48056,0.2,0.2,20.65,173.55,0.009567496,0.1975972
1060,48522,0.21,0.21,20.73,175.56,0.009563302000000001,0.1975739
1070,48973,0.22,0.22,20.74,177.64,0.009559243,0.19755135000000001
1080,49410,0.21,0.21,20.39,179.82,0.009555310000000001,0.1975295
1090,49879,0.2,0.2,20.17,181.9,0.009551089,0.19750605000000002
1100,50319,0.21,0.21,20.31,183.94,0.009547129,0.19748405000000002
1110,50773,0.23,0.23,19.96,186.19,0.009543043000000001,0.19746135
1120,51239,0.21,0.21,20.24,188.48,0.009538849,0.19743805
1130,51680,0.23,0.23,20.61,190.5,0.00953488,0.197416
1140,52101,0.24,0.24,20.47,192.32,0.009531091,0.19739495
1150,52529,0.23,0.23,19.97,193.97,0.009527239,0.19737355
1160,53000,0.25,0.25,19.7,195.46,0.009523,0.19735
1170,53455,0.24,0.24,19.82,196.79,0.009518905,0.19732725
1180,53921,0.24,0.24,19.8,197.92,0.009514711,0.19730395
1190,54357,0.23,0.23,19.77,198.85,0.009510787,0.19728215000000002
1200,54834,0.22,0.22,19.72,199.56,0.009506494,0.1972583
1210,55282,0.18,0.18,19.72,199.92,0.009502462,0.19723590000000002
1220,55740,0.2,0.2,20.11,200.0,0.009498340000000001,0.197213
1230,56219,0.17,0.17,20.21,200.0,0.009494029000000001,0.19718905
1240,56671,0.16,0.16,20.03,200.0,0.009489961,0.19716645000000002
1250,57097,0.17,0.17,19.62,200.0,0.009486127,0.19714515000000002
1260,57569,0.17,0.17,19.41,200.0,0.009481879,0.19712155
1270,58018,0.19,0.19,19.52,200.0,0.009477838,0.1970991
1280,58499,0.21,0.21,20.09,200.0,0.009473509,0.19707505
1290,58974,0.21,0.21,20.2,200.0,0.009469234,0.1970513
1300,59396,0.23,0.23,20.08,200.0,0.009465436,0.19703020000000002
1310,59854,0.23,0.23,20.08,200.0,0.009461314,0.1970073
1320,60333,0.19,0.19,20.08,200.0,0.009457003,0.19698335
1330,60774,0.22,0.22,19.66,200.0,0.009453034,0.1969613
1340,61269,0.24,0.24,19.99,200.0,0.009448579,0.19693655000000002
1350,61746,0.23,0.23,20.16,200.0,0.009444286,0.1969127
1360,62206,0.22,0.22,20.04,200.0,0.009440146,0.1968897
1370,62642,0.19,0.19,20.04,200.0,0.009436222,0.1968679
1380,63127,0.17,0.17,20.35,200.0,0.009431857,0.19684365
1390,63597,0.16,0.16,20.42,200.0,0.009427627000000001,0.19682015
1400,64028,0.16,0.16,20.04,200.0,0.009423748000000001,0.19679860000000002
1410,64473,0.17,0.17,20.06,200.0,0.009419743,0.19677635000000002
1420,64897,0.2,0.2,20.01,200.0,0.009415927000000001,0.19675515000000002
1430,65357,0.19,0.19,20.03,200.0,0.009411787,0.19673215000000002
1440,65826,0.2,0.2,20.17,200.0,0.009407566000000001,0.19670870000000001
1450,66283,0.21,0.21,20.03,200.0,0.009403453,0.19668585000000002
1460,66698,0.2,0.2,19.76,200.0,0.009399718,0.1966651
1470,67143,0.23,0.23,19.96,200.0,0.009395713,0.19664285
1480,67572,0.24,0.24,19.85,200.0,0.009391852000000001,0.1966214
1490,68045,0.25,0.25,19.97,200.0,0.009387595,0.19659775000000002
1500,68498,0.23,0.23,19.85,200.0,0.009383518,0.1965751
1510,68950,0.24,0.24,19.45,200.0,0.009379450000000001,0.19655250000000002
1520,69421,0.25,0.25,19.31,200.0,0.009375211,0.19652895
1530,69878,0.24,0.24,19.21,200.0,0.009371098,0.19650610000000002
1540,70344,0.22,0.22,19.43,200.0,0.009366904,0.1964828
1550,70835,0.19,0.19,19.43,200.0,0.009362485,0.19645825
1560,71326,0.19,0.19,19.32,200.0,0.009358066,0.19643370000000002
