episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef,clip_range
8360,416438,0.4,0.4,12.75,2.5,0.0037534299999999994,0.12
8370,416899,0.25,0.25,11.2,3.45,0.0037465149999999997,0.12
8380,417399,0.2,0.2,10.166666666666666,4.1,0.003739015,0.12
8390,417862,0.175,0.175,14.0,4.825,0.003732069999999999,0.12
8400,418362,0.18,0.18,12.11111111111111,5.54,0.00372457,0.12
8410,418842,0.2,0.2,11.083333333333334,6.466666666666667,0.0037173699999999994,0.12
8420,419326,0.2,0.2,11.928571428571429,7.414285714285715,0.003710109999999999,0.12
8430,419782,0.2375,0.2375,11.263157894736842,8.6625,0.003703269999999999,0.12
8440,420239,0.23333333333333334,0.23333333333333334,10.666666666666666,10.0,0.0036964149999999998,0.12
8450,420704,0.25,0.24,11.25,11.31,0.0036894399999999996,0.12
8460,421180,0.26,0.25,11.137931034482758,13.71,0.0036822999999999995,0.12
8470,421658,0.27,0.26,10.838709677419354,16.31,0.0036751299999999995,0.12
8480,422112,0.28,0.27,10.545454545454545,19.01,0.0036683199999999992,0.12
8490,422602,0.33,0.32,9.974358974358974,21.82,0.0036609699999999986,0.12
8500,423080,0.33,0.32,9.85,24.96,0.0036537999999999996,0.12
8510,423541,0.33,0.32,9.69047619047619,27.95,0.003646885,0.12
8520,424016,0.33,0.32,9.568181818181818,30.91,0.0036397599999999997,0.12
8530,424483,0.32,0.31,9.833333333333334,33.73,0.003632754999999999,0.12
8540,424963,0.34,0.33,9.711538461538462,36.66,0.003625555,0.12
8550,425404,0.32,0.32,9.666666666666666,39.74,0.0036189399999999993,0.12
8560,425890,0.31,0.31,9.56140350877193,42.62,0.0036116499999999992,0.12
8570,426349,0.3,0.3,9.517241379310345,45.29,0.0036047649999999994,0.12
8580,426821,0.32,0.32,9.426229508196721,48.09,0.003597684999999999,0.12
8590,427277,0.3,0.3,9.36923076923077,50.91,0.0035908449999999988,0.12
8600,427734,0.33,0.33,9.710144927536232,53.6,0.0035839899999999996,0.12
8610,428222,0.35,0.35,9.594594594594595,56.64,0.0035766699999999997,0.12
8620,428674,0.37,0.37,9.461538461538462,60.06,0.00356989,0.12
8630,429147,0.4,0.4,10.012048192771084,63.6,0.0035627949999999997,0.12
8640,429647,0.39,0.39,10.313953488372093,67.07,0.003555294999999999,0.12
8650,430116,0.4,0.4,10.280898876404494,70.45,0.0035482599999999993,0.12
8660,430599,0.41,0.41,10.27659574468085,74.06,0.003541015,0.12
8670,431052,0.41,0.41,10.263157894736842,77.82,0.0035342200000000002,0.12
8680,431527,0.42,0.42,10.08,81.6,0.003527094999999999,0.12
8690,431999,0.39,0.39,10.14,85.27,0.0035200149999999996,0.12
8700,432465,0.38,0.38,9.79,88.6,0.0035130249999999986,0.12
8710,432960,0.38,0.37,9.44,91.46,0.0035055999999999993,0.12
8720,433460,0.36,0.35,9.4,93.77,0.0034980999999999988,0.12
8730,433931,0.3,0.29,9.39,95.67,0.003491035,0.12
8740,434431,0.31,0.3,9.23,97.2,0.0034835349999999994,0.12
8750,434908,0.32,0.31,9.05,98.43,0.0034763799999999994,0.12
8760,435366,0.29,0.28,9.1,99.29,0.0034695099999999994,0.12
8770,435824,0.29,0.28,9.1,99.82,0.0034626399999999995,0.12
8780,436293,0.26,0.25,8.79,100.0,0.0034556049999999996,0.12
8790,436781,0.3,0.29,8.75,100.0,0.0034482849999999997,0.12
8800,437260,0.29,0.28,8.77,100.0,0.003441099999999999,0.12
8810,437695,0.26,0.26,8.8,100.0,0.0034345749999999996,0.12
8820,438156,0.26,0.26,8.99,100.0,0.003427659999999999,0.12
8830,438652,0.25,0.25,8.99,100.0,0.00342022,0.12
8840,439129,0.22,0.22,8.98,100.0,0.003413065,0.12
8850,439592,0.19,0.19,8.93,100.0,0.0034061199999999995,0.12
8860,440092,0.2,0.2,9.21,100.0,0.0033986199999999998,0.12
8870,440564,0.22,0.22,9.4,100.0,0.0033915399999999993,0.12
8880,441037,0.23,0.23,9.76,100.0,0.003384445,0.12
8890,441517,0.22,0.22,9.81,100.0,0.003377245,0.12
8900,441993,0.2,0.2,9.81,100.0,0.003370105,0.12
8910,442480,0.21,0.21,9.89,100.0,0.003362799999999999,0.12
8920,442974,0.21,0.21,9.92,100.0,0.0033553899999999998,0.12
8930,443474,0.22,0.22,9.87,100.0,0.003347889999999999,0.12
8940,443974,0.21,0.21,9.87,100.0,0.0033403899999999986,0.12
8950,444450,0.22,0.22,9.82,100.0,0.0033332499999999994,0.12
