episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef
10,500,0.8,0.8,19.0,3.5,0.00999000449880021
20,1000,0.55,0.55,24.8,6.25,0.009980018988604844
30,1500,0.5,0.5,24.642857142857142,7.966666666666667,0.009970043459427395
40,2000,0.45,0.45,23.176470588235293,9.95,0.009960077901291331
50,2500,0.4,0.4,23.68421052631579,11.66,0.009950122304230098
60,3000,0.38333333333333336,0.38333333333333336,24.045454545454547,13.033333333333333,0.0099401766582871
70,3500,0.38571428571428573,0.38571428571428573,23.653846153846153,14.614285714285714,0.0099302409535157
80,4000,0.3625,0.3625,24.285714285714285,16.175,0.009920315179979195
90,4500,0.36666666666666664,0.36666666666666664,24.419354838709676,17.68888888888889,0.009910399327750822
100,5000,0.35,0.35,24.606060606060606,19.12,0.009900493386913728
110,5500,0.35,0.35,26.2,22.45,0.00989059734756099
120,6000,0.37,0.37,25.818181818181817,25.76,0.009880711199795571
130,6500,0.37,0.37,25.595744680851062,29.08,0.009870834933730338
140,7000,0.39,0.39,25.73076923076923,32.4,0.009860968539488035
150,7500,0.4,0.4,25.672727272727272,35.91,0.009851112007201283
160,8000,0.45,0.45,24.629032258064516,39.84,0.00984126532701256
170,8500,0.42,0.42,24.603174603174605,43.69,0.009831428489074201
180,9000,0.41,0.41,24.59375,47.38,0.009821601483548383
190,9500,0.42,0.42,24.573529411764707,51.09,0.00981178430060712
200,10000,0.41,0.41,24.36231884057971,54.7,0.009801976930432239
210,10500,0.37,0.37,24.47945205479452,58.14,0.009792179363215393
220,11000,0.34,0.34,24.56,61.31,0.009782391589158038
230,11500,0.34,0.34,24.60759493670886,64.6,0.009772613598471416
240,12000,0.33,0.33,24.573170731707318,67.78,0.009762845381376556
250,12500,0.34,0.34,24.458823529411763,70.83,0.009753086928104265
260,13000,0.29,0.29,24.28409090909091,73.64,0.009743338228895112
270,13500,0.32,0.32,24.358695652173914,76.35,0.009733599273999426
280,14000,0.36,0.36,24.31958762886598,79.46,0.009723870053677272
290,14500,0.34,0.34,24.353535353535353,82.59,0.00971415055819846
300,15000,0.35,0.35,24.41,85.77,0.00970444077784252
310,15500,0.34,0.34,24.78,88.65,0.0096947407028987
320,16000,0.35,0.35,24.89,91.27,0.009685050323665952
330,16500,0.34,0.34,24.44,93.52,0.009675369630452929
340,17000,0.31,0.31,24.48,95.43,0.009665698613577968
350,17500,0.29,0.29,24.27,97.02,0.009656037263369088
360,18000,0.31,0.31,24.68,98.29,0.009646385570163965
370,18500,0.3,0.3,24.44,99.32,0.009636743524309944
380,19000,0.3,0.3,24.37,99.81,0.009627111116164013
