episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef,clip_range
3360,167991,0.1,0.1,42.0,0.3,0.0096976162,0.19832009
3370,168491,0.1,0.1,24.0,0.75,0.0096967162,0.19831509
3380,168991,0.13333333333333333,0.13333333333333333,23.0,1.4,0.0096958162,0.19831009000000002
3390,169484,0.2,0.2,21.375,2.425,0.0096949288,0.19830516
3400,169938,0.22,0.22,21.636363636363637,3.66,0.0096941116,0.19830062
3410,170384,0.21666666666666667,0.21666666666666667,21.153846153846153,5.116666666666666,0.0096933088,0.19829616
3420,170868,0.22857142857142856,0.22857142857142856,23.625,6.4714285714285715,0.009692437600000001,0.19829132000000002
3430,171368,0.2375,0.2375,21.789473684210527,7.8875,0.0096915376,0.19828632000000002
3440,171868,0.24444444444444444,0.24444444444444444,19.863636363636363,9.277777777777779,0.0096906376,0.19828132
3450,172353,0.27,0.27,20.03846153846154,10.74,0.009689764600000001,0.19827647
3460,172836,0.28,0.28,19.75,13.38,0.0096888952,0.19827164
3470,173336,0.3,0.3,20.612903225806452,16.25,0.0096879952,0.19826664000000002
3480,173836,0.28,0.28,20.612903225806452,19.08,0.0096870952,0.19826164000000002
3490,174309,0.27,0.27,19.61764705882353,21.78,0.009686243800000001,0.19825691
3500,174809,0.28,0.28,18.94736842105263,24.59,0.0096853438,0.19825191
3510,175284,0.29,0.29,18.024390243902438,27.3,0.0096844888,0.19824716
3520,175784,0.27,0.27,18.19047619047619,30.01,0.0096835888,0.19824216
3530,176227,0.24,0.24,18.19047619047619,32.43,0.0096827914,0.19823773
3540,176716,0.24,0.24,17.933333333333334,34.76,0.0096819112,0.19823284000000002
3550,177197,0.2,0.2,17.717391304347824,36.91,0.0096810454,0.19822803
3560,177697,0.21,0.21,17.918367346938776,39.08,0.0096801454,0.19822303000000002
3570,178191,0.2,0.2,17.58823529411765,41.15,0.0096792562,0.19821809
3580,178678,0.24,0.24,17.64814814814815,43.34,0.0096783796,0.19821322000000002
3590,179165,0.23,0.23,17.553571428571427,45.64,0.009677503,0.19820835
3600,179663,0.22,0.22,17.36842105263158,47.62,0.0096766066,0.19820337000000002
3610,180148,0.23,0.23,17.266666666666666,49.53,0.0096757336,0.19819852000000002
3620,180641,0.24,0.24,16.983870967741936,51.51,0.0096748462,0.19819359
3630,181136,0.25,0.25,16.857142857142858,53.54,0.0096739552,0.19818864
3640,181636,0.26,0.26,16.70149253731343,55.69,0.0096730552,0.19818364000000002
3650,182136,0.29,0.29,16.253521126760564,57.99,0.009672155200000001,0.19817864000000002
3660,182636,0.27,0.27,16.166666666666668,60.34,0.0096712552,0.19817364
3670,183131,0.31,0.31,16.051948051948052,62.63,0.0096703642,0.19816869
3680,183627,0.28,0.28,16.166666666666668,65.06,0.0096694714,0.19816373
3690,184127,0.29,0.29,16.19753086419753,67.39,0.009668571400000001,0.19815873
3700,184619,0.26,0.26,16.19753086419753,69.84,0.0096676858,0.19815381
3710,185104,0.27,0.27,16.352941176470587,72.33,0.0096668128,0.19814896
3720,185604,0.28,0.28,16.471264367816094,74.8,0.0096659128,0.19814396
3730,186104,0.28,0.28,16.363636363636363,77.34,0.009665012800000001,0.19813896
3740,186604,0.24,0.24,16.363636363636363,79.62,0.0096641128,0.19813396
3750,187093,0.21,0.21,16.348314606741575,81.59,0.0096632326,0.19812907000000002
3760,187580,0.23,0.23,16.197802197802197,83.37,0.009662356,0.1981242
3770,188051,0.2,0.2,16.06451612903226,85.27,0.0096615082,0.19811949
3780,188541,0.23,0.23,16.03125,87.1,0.0096606262,0.19811459
3790,189035,0.24,0.24,15.96,88.96,0.009659737,0.19810965
3800,189508,0.27,0.27,16.15,90.86,0.0096588856,0.19810492000000002
3810,190005,0.24,0.24,15.83,92.51,0.009657991,0.19809995
3820,190505,0.24,0.24,15.46,93.89,0.009657091,0.19809495000000002
3830,191000,0.24,0.24,15.59,95.12,0.0096562,0.19809000000000002
