episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef,clip_range
10,500,0.2,0.2,29.5,1.4,0.0099775,0.19987500000000002
20,1000,0.15,0.15,22.666666666666668,2.0,0.009955,0.19975
30,1500,0.13333333333333333,0.13333333333333333,29.25,2.466666666666667,0.0099325,0.19962500000000002
40,2000,0.15,0.15,26.666666666666668,3.175,0.00991,0.1995
50,2500,0.18,0.18,26.0,4.06,0.0098875,0.19937500000000002
60,3000,0.2,0.2,26.0,5.283333333333333,0.009865,0.19925
70,3500,0.2857142857142857,0.2857142857142857,26.166666666666668,6.742857142857143,0.0098425,0.19912500000000002
80,4000,0.3125,0.3125,25.227272727272727,8.4125,0.00982,0.199
90,4500,0.28888888888888886,0.28888888888888886,24.956521739130434,9.977777777777778,0.0097975,0.19887500000000002
100,5000,0.31,0.31,25.11111111111111,11.47,0.009775,0.19875
110,5500,0.33,0.33,24.838709677419356,14.23,0.0097525,0.19862500000000002
120,6000,0.34,0.34,25.393939393939394,17.19,0.00973,0.1985
130,6500,0.37,0.37,26.756756756756758,20.34,0.0097075,0.19837500000000002
140,6988,0.37,0.37,27.333333333333332,23.63,0.00968554,0.198253
150,7488,0.36,0.36,26.975,26.84,0.00966304,0.198128
160,7988,0.35,0.35,27.023809523809526,29.87,0.00964054,0.198003
170,8488,0.3,0.3,26.666666666666668,32.7,0.00961804,0.197878
180,8988,0.28,0.28,27.104166666666668,35.35,0.00959554,0.197753
190,9488,0.32,0.32,26.81132075471698,38.26,0.00957304,0.197628
200,9988,0.29,0.29,26.90909090909091,41.2,0.00955054,0.197503
210,10488,0.29,0.29,27.050847457627118,44.05,0.00952804,0.197378
220,10988,0.29,0.29,26.721311475409838,46.83,0.00950554,0.197253
230,11488,0.25,0.25,26.721311475409838,49.44,0.00948304,0.197128
240,11980,0.24,0.24,26.451612903225808,51.73,0.0094609,0.197005
250,12475,0.25,0.25,26.265625,54.04,0.009438625,0.19688125
260,12970,0.25,0.25,26.09090909090909,56.4,0.00941635,0.1967575
270,13470,0.24,0.24,25.91176470588235,58.72,0.00939385,0.19663250000000002
280,13970,0.23,0.23,26.114285714285714,60.97,0.00937135,0.1965075
290,14470,0.21,0.21,26.301369863013697,62.98,0.00934885,0.19638250000000002
300,14952,0.22,0.22,26.026315789473685,65.06,0.009327160000000001,0.19626200000000002
310,15434,0.2,0.2,25.58974358974359,66.99,0.00930547,0.1961415
320,15934,0.18,0.18,25.58974358974359,68.79,0.00928297,0.1960165
330,16434,0.2,0.2,25.675,70.62,0.00926047,0.1958915
340,16934,0.22,0.22,25.71951219512195,72.61,0.00923797,0.1957665
350,17434,0.21,0.21,25.61904761904762,74.62,0.00921547,0.19564150000000002
360,17934,0.22,0.22,25.436781609195403,76.73,0.00919297,0.1955165
370,18434,0.21,0.21,25.28409090909091,78.75,0.00917047,0.1953915
380,18934,0.22,0.22,25.021978021978022,80.89,0.00914797,0.1952665
390,19434,0.23,0.23,24.56382978723404,82.92,0.00912547,0.19514150000000002
400,19934,0.23,0.23,24.63917525773196,84.94,0.00910297,0.1950165
410,20434,0.23,0.23,24.7979797979798,87.07,0.00908047,0.1948915
420,20934,0.28,0.28,24.57,89.27,0.00905797,0.1947665
430,21434,0.28,0.28,24.52,91.34,0.00903547,0.19464150000000002
440,21934,0.28,0.28,24.41,93.24,0.00901297,0.1945165
450,22415,0.27,0.27,24.56,94.95,0.008991325,0.19439625000000002
460,22915,0.24,0.24,24.56,96.31,0.008968825,0.19427125
470,23415,0.23,0.23,24.56,97.59,0.008946325,0.19414625000000002
480,23915,0.24,0.24,23.98,98.54,0.008923825,0.19402125
490,24415,0.26,0.26,23.83,99.34,0.008901325,0.19389625000000002
500,24915,0.26,0.26,23.76,99.81,0.008878825,0.19377125
510,25415,0.29,0.29,23.67,100.0,0.008856325,0.19364625000000002
520,25915,0.26,0.26,23.88,100.0,0.008833825,0.19352125
530,26415,0.27,0.27,23.95,100.0,0.008811325,0.19339625000000002
540,26894,0.24,0.24,23.95,100.0,0.00878977,0.19327650000000002
550,27394,0.24,0.24,24.03,100.0,0.00876727,0.1931515
560,27894,0.27,0.27,23.62,100.0,0.00874477,0.19302650000000002
570,28394,0.29,0.29,23.28,100.0,0.00872227,0.1929015
580,28894,0.28,0.28,22.87,100.0,0.00869977,0.19277650000000002
590,29394,0.26,0.26,22.82,100.0,0.00867727,0.1926515
600,29894,0.25,0.25,22.78,100.0,0.00865477,0.19252650000000002
610,30394,0.23,0.23,22.54,100.0,0.008632270000000001,0.1924015
620,30894,0.23,0.23,22.46,100.0,0.00860977,0.19227650000000002
630,31394,0.21,0.21,22.38,100.0,0.008587270000000001,0.1921515
640,31894,0.23,0.23,22.03,100.0,0.00856477,0.19202650000000002
650,32394,0.23,0.23,22.04,100.0,0.00854227,0.1919015
660,32894,0.23,0.23,21.91,100.0,0.00851977,0.19177650000000002
670,33390,0.23,0.23,21.65,100.0,0.00849745,0.1916525
680,33890,0.26,0.26,22.03,100.0,0.00847495,0.19152750000000002
690,34390,0.25,0.25,21.98,100.0,0.00845245,0.1914025
700,34890,0.24,0.24,21.63,100.0,0.00842995,0.19127750000000002
710,35370,0.22,0.22,21.58,100.0,0.00840835,0.1911575
720,35864,0.22,0.22,21.71,100.0,0.00838612,0.191034
730,36364,0.23,0.23,21.7,100.0,0.00836362,0.190909
740,36864,0.23,0.23,21.79,100.0,0.00834112,0.190784
750,37364,0.23,0.23,21.68,100.0,0.00831862,0.190659
760,37864,0.21,0.21,21.89,100.0,0.00829612,0.190534
770,38364,0.22,0.22,22.01,100.0,0.00827362,0.190409
780,38864,0.22,0.22,21.74,100.0,0.00825112,0.190284
790,39364,0.25,0.25,22.05,100.0,0.00822862,0.19015900000000002
800,39864,0.26,0.26,22.19,100.0,0.00820612,0.190034
810,40364,0.26,0.26,22.22,100.0,0.008183619999999999,0.189909
820,40852,0.26,0.26,22.38,100.0,0.00816166,0.189787
830,41352,0.24,0.24,22.38,100.0,0.00813916,0.189662
840,41852,0.23,0.23,22.34,100.0,0.00811666,0.189537
850,42352,0.24,0.24,21.96,100.0,0.00809416,0.189412
860,42838,0.25,0.25,21.93,100.0,0.00807229,0.1892905
870,43338,0.26,0.26,21.84,100.0,0.00804979,0.18916550000000001
880,43831,0.23,0.23,21.75,100.0,0.008027605,0.18904225
890,44312,0.19,0.19,21.55,100.0,0.00800596,0.188922
900,44812,0.19,0.19,21.49,100.0,0.00798346,0.188797
910,45312,0.22,0.22,21.52,100.0,0.00796096,0.188672
920,45812,0.21,0.21,21.71,100.0,0.00793846,0.18854700000000002
930,46312,0.23,0.23,21.86,100.0,0.00791596,0.188422
940,46812,0.23,0.23,22.03,100.0,0.00789346,0.18829700000000002
950,47312,0.23,0.23,21.91,100.0,0.00787096,0.188172
960,47812,0.24,0.24,22.12,100.0,0.00784846,0.18804700000000002
970,48312,0.23,0.23,22.17,100.0,0.00782596,0.187922
980,48812,0.23,0.23,22.46,100.0,0.00780346,0.18779700000000002
990,49312,0.23,0.23,22.25,100.0,0.00778096,0.187672
1000,49812,0.25,0.25,22.11,100.0,0.00775846,0.18754700000000002
1010,50312,0.24,0.24,22.17,100.0,0.00773596,0.187422
1020,50812,0.27,0.27,22.26,100.0,0.00771346,0.18729700000000002
1030,51312,0.27,0.27,22.04,100.0,0.00769096,0.187172
1040,51812,0.28,0.28,21.87,100.0,0.00766846,0.18704700000000002
1050,52312,0.27,0.27,22.03,100.0,0.00764596,0.186922
1060,52812,0.26,0.26,21.87,100.0,0.00762346,0.18679700000000002
1070,53309,0.27,0.27,21.73,100.0,0.007601095,0.18667275
1080,53809,0.29,0.29,21.81,100.0,0.0075785950000000005,0.18654775
1090,54309,0.29,0.29,21.55,100.0,0.0075560950000000005,0.18642275
1100,54809,0.28,0.28,21.91,100.0,0.007533595000000001,0.18629775
1110,55309,0.27,0.27,21.84,100.0,0.007511095000000001,0.18617275
1120,55809,0.26,0.26,21.86,100.0,0.007488595000000001,0.18604775
1130,56289,0.26,0.26,21.89,100.0,0.007466995,0.18592775
1140,56784,0.31,0.31,21.55,100.0,0.00744472,0.185804
1150,57284,0.32,0.32,21.65,100.0,0.00742222,0.185679
1160,57784,0.31,0.31,21.5,100.0,0.00739972,0.185554
1170,58284,0.28,0.28,21.69,100.0,0.00737722,0.185429
1180,58784,0.26,0.26,21.6,100.0,0.00735472,0.185304
1190,59284,0.27,0.27,22.09,100.0,0.0073322199999999995,0.185179
1200,59784,0.28,0.28,21.9,100.0,0.00730972,0.185054
1210,60284,0.28,0.28,22.21,100.0,0.00728722,0.184929
1220,60773,0.26,0.26,22.3,100.0,0.007265215,0.18480675000000002
1230,61273,0.27,0.27,22.04,100.0,0.007242715,0.18468175
1240,61768,0.24,0.24,21.94,100.0,0.00722044,0.184558
1250,62268,0.27,0.27,22.2,100.0,0.00719794,0.184433
1260,62768,0.28,0.28,22.4,100.0,0.00717544,0.184308
1270,63268,0.29,0.29,22.23,100.0,0.00715294,0.184183
1280,63768,0.3,0.3,22.82,100.0,0.00713044,0.184058
1290,64248,0.28,0.28,23.02,100.0,0.00710884,0.183938
1300,64738,0.27,0.27,22.88,100.0,0.00708679,0.18381550000000002
1310,65238,0.25,0.25,22.88,100.0,0.00706429,0.1836905
1320,65738,0.27,0.27,22.6,100.0,0.00704179,0.1835655
1330,66238,0.27,0.27,22.32,100.0,0.00701929,0.1834405
1340,66738,0.25,0.25,22.36,100.0,0.00699679,0.18331550000000002
1350,67238,0.22,0.22,22.01,100.0,0.006974289999999999,0.1831905
1360,67738,0.21,0.21,21.94,100.0,0.006951789999999999,0.1830655
1370,68238,0.24,0.24,21.91,100.0,0.006929289999999999,0.1829405
1380,68738,0.23,0.23,21.49,100.0,0.0069067899999999995,0.18281550000000002
1390,69238,0.23,0.23,21.77,100.0,0.0068842899999999995,0.1826905
1400,69738,0.22,0.22,21.55,100.0,0.0068617899999999996,0.1825655
1410,70238,0.26,0.26,21.77,100.0,0.00683929,0.1824405
1420,70738,0.28,0.28,21.85,100.0,0.00681679,0.18231550000000002
1430,71238,0.27,0.27,21.69,100.0,0.00679429,0.1821905
1440,71738,0.27,0.27,21.88,100.0,0.00677179,0.1820655
1450,72218,0.29,0.29,21.59,100.0,0.00675019,0.1819455
1460,72718,0.29,0.29,21.44,100.0,0.00672769,0.1818205
1470,73218,0.28,0.28,21.91,100.0,0.00670519,0.1816955
1480,73718,0.28,0.28,21.79,100.0,0.00668269,0.1815705
1490,74218,0.29,0.29,21.65,100.0,0.00666019,0.1814455
1500,74711,0.28,0.28,21.75,100.0,0.006638005,0.18132225000000002
1510,75211,0.28,0.28,21.68,100.0,0.006615505000000001,0.18119725
1520,75711,0.26,0.26,21.61,100.0,0.006593005,0.18107225000000002
1530,76211,0.27,0.27,21.7,100.0,0.006570505,0.18094725
1540,76711,0.25,0.25,21.7,100.0,0.006548005,0.18082225000000002
1550,77211,0.25,0.25,22.29,100.0,0.006525505,0.18069725
1560,77709,0.29,0.29,21.99,100.0,0.006503095,0.18057275
1570,78209,0.27,0.27,22.24,100.0,0.0064805950000000005,0.18044775000000002
1580,78709,0.26,0.26,22.2,100.0,0.0064580950000000005,0.18032275
1590,79208,0.25,0.25,21.88,100.0,0.006435639999999999,0.180198
1600,79708,0.24,0.24,21.88,100.0,0.0064131399999999995,0.180073
1610,80208,0.2,0.2,21.88,100.0,0.0063906399999999995,0.179948
1620,80708,0.19,0.19,21.38,100.0,0.0063681399999999996,0.179823
1630,81208,0.17,0.17,21.47,100.0,0.00634564,0.179698
1640,81706,0.17,0.17,21.47,100.0,0.006323229999999999,0.1795735
1650,82206,0.14,0.14,21.41,100.0,0.006300729999999999,0.1794485
1660,82706,0.13,0.13,21.02,100.0,0.006278229999999999,0.1793235
1670,83188,0.15,0.15,21.58,100.0,0.00625654,0.179203
1680,83688,0.15,0.15,21.7,100.0,0.00623404,0.17907800000000001
1690,84188,0.16,0.16,21.35,100.0,0.00621154,0.178953
1700,84688,0.2,0.2,21.29,100.0,0.00618904,0.17882800000000001
1710,85180,0.24,0.24,21.23,100.0,0.0061668999999999995,0.178705
1720,85680,0.25,0.25,20.65,100.0,0.0061443999999999995,0.17858000000000002
1730,86180,0.26,0.26,20.98,100.0,0.0061218999999999996,0.178455
1740,86680,0.29,0.29,21.0,100.0,0.0060994,0.17833
1750,87180,0.32,0.32,20.92,100.0,0.0060769,0.178205
1760,87680,0.32,0.32,20.82,100.0,0.0060544,0.17808000000000002
1770,88180,0.32,0.32,20.44,100.0,0.0060319,0.177955
1780,88680,0.32,0.32,20.2,100.0,0.0060094,0.17783
1790,89160,0.34,0.34,20.75,100.0,0.0059878,0.17771
1800,89660,0.31,0.31,20.72,100.0,0.0059653,0.177585
1810,90160,0.29,0.29,20.59,100.0,0.0059428,0.17746
1820,90660,0.29,0.29,20.3,100.0,0.0059203,0.177335
1830,91145,0.3,0.3,20.18,100.0,0.005898474999999999,0.17721375
1840,91645,0.28,0.28,20.33,100.0,0.005875974999999999,0.17708875000000002
1850,92145,0.27,0.27,20.64,100.0,0.0058534749999999995,0.17696375
1860,92645,0.24,0.24,20.54,100.0,0.0058309749999999995,0.17683875
1870,93145,0.21,0.21,20.52,100.0,0.005808475,0.17671375
1880,93645,0.21,0.21,20.64,100.0,0.005785975,0.17658875000000002
1890,94145,0.19,0.19,20.77,100.0,0.005763475,0.17646375
1900,94645,0.19,0.19,20.5,100.0,0.005740975,0.17633875
1910,95145,0.18,0.18,20.49,100.0,0.005718475,0.17621375
1920,95645,0.17,0.17,20.44,100.0,0.005695975,0.17608875000000002
1930,96145,0.18,0.18,20.41,100.0,0.005673475,0.17596375
1940,96645,0.23,0.23,20.81,100.0,0.005650975,0.17583875
1950,97145,0.23,0.23,20.97,100.0,0.005628474999999999,0.17571375
1960,97645,0.23,0.23,20.87,100.0,0.005605974999999999,0.17558875000000002
1970,98145,0.26,0.26,20.41,100.0,0.005583474999999999,0.17546375
1980,98641,0.25,0.25,20.34,100.0,0.005561155,0.17533975000000002
1990,99141,0.25,0.25,20.72,100.0,0.005538655,0.17521475
2000,99631,0.27,0.27,20.51,100.0,0.005516605,0.17509225
