episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef
8360,416438,0.5,0.5,13.75,2.0,0.004372045390726945
8370,416933,0.45,0.45,10.75,4.25,0.004365355709353991
8380,417428,0.5666666666666667,0.5666666666666667,12.785714285714286,6.233333333333333,0.0043586660279810365
8390,417925,0.5,0.5,12.764705882352942,8.625,0.004351949317592435
8400,418425,0.5,0.5,12.772727272727273,11.0,0.004345192063680361
8410,418909,0.45,0.45,14.291666666666666,13.05,0.004338651041893472
8420,419409,0.4142857142857143,0.4142857142857143,13.461538461538462,14.785714285714286,0.004331893787981398
8430,419904,0.425,0.425,13.2,16.475,0.0043252041066084435
8440,420404,0.4111111111111111,0.4111111111111111,12.818181818181818,18.133333333333333,0.004318446852696369
8450,420894,0.39,0.39,13.085714285714285,19.67,0.004311824743862536
8460,421394,0.39,0.39,12.948717948717949,23.22,0.004305067489950462
8470,421894,0.39,0.39,12.837209302325581,26.72,0.004298310236038386
8480,422391,0.38,0.38,12.520833333333334,30.26,0.004291593525649785
8490,422891,0.39,0.39,12.826923076923077,33.75,0.00428483627173771
8500,423385,0.36,0.36,12.75925925925926,37.08,0.00427816010487258
8510,423883,0.39,0.39,12.610169491525424,40.32,0.004271429879976154
8520,424383,0.43,0.43,12.125,43.91,0.00426467262606408
8530,424880,0.44,0.44,12.492753623188406,47.78,0.004257955915675477
8540,425379,0.44,0.44,12.527777777777779,51.78,0.0042512121762712275
8550,425879,0.46,0.46,12.789473684210526,55.89,0.004244454922359152
8560,426363,0.44,0.44,12.582278481012658,59.94,0.004237913900572264
8570,426863,0.43,0.43,12.390243902439025,63.84,0.00423115664666019
8580,427363,0.38,0.38,12.325301204819278,67.58,0.004224399392748115
8590,427863,0.38,0.38,13.0,70.91,0.0042176421388360405
8600,428363,0.42,0.41,12.804347826086957,74.51,0.0042108848849239655
8610,428863,0.42,0.41,12.608247422680412,78.43,0.0042041276310118905
8620,429363,0.41,0.4,12.32,82.25,0.004197370377099816
8630,429863,0.37,0.36,12.34,85.55,0.004190613123187742
8640,430331,0.36,0.35,12.29,88.41,0.00418428833352604
8650,430812,0.35,0.34,12.33,90.95,0.004177787855262624
8660,431312,0.37,0.36,12.29,93.15,0.004171030601350549
8670,431802,0.36,0.35,12.69,95.1,0.004164408492516716
8680,432295,0.37,0.36,12.74,96.8,0.004157745840159411
8690,432773,0.36,0.35,12.58,98.4,0.004151285905419467
8700,433273,0.37,0.37,12.76,99.42,0.004144528651507393
8710,433765,0.36,0.36,12.65,99.93,0.004137879513657911
8720,434252,0.33,0.33,12.65,100.0,0.004131297948347551
8730,434752,0.33,0.33,12.44,100.0,0.004124540694435476
8740,435251,0.35,0.35,12.39,100.0,0.004117796955031225
8750,435744,0.36,0.36,12.25,100.0,0.00411113430267392
8760,436244,0.34,0.34,12.29,100.0,0.0041043770487618455
8770,436743,0.36,0.36,12.35,100.0,0.004097633309357595
8780,437243,0.39,0.39,11.85,100.0,0.004090876055445521
8790,437743,0.39,0.39,11.9,100.0,0.004084118801533445
8800,438236,0.38,0.38,12.13,100.0,0.00407745614917614
8810,438732,0.38,0.38,12.17,100.0,0.004070752953295362
8820,439232,0.4,0.4,11.85,100.0,0.004063995699383287
8830,439730,0.4,0.4,11.56,100.0,0.004057265474486861
8840,440230,0.4,0.4,11.19,100.0,0.004050508220574787
