episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef
3360,167991,0.6,0.6,13.4,2.3,0.007153261037411473
3370,168491,0.6,0.6,14.5,4.7,0.007153261037411473
3380,168991,0.5,0.5,13.923076923076923,6.933333333333334,0.007153261037411473
3390,169491,0.475,0.475,15.235294117647058,9.0,0.007153261037411473
3400,169991,0.46,0.46,16.38095238095238,11.04,0.007153261037411473
3410,170491,0.43333333333333335,0.43333333333333335,16.0,12.933333333333334,0.007153261037411473
3420,170991,0.42857142857142855,0.42857142857142855,15.964285714285714,14.8,0.007153261037411473
3430,171491,0.4375,0.4375,16.545454545454547,16.7,0.007153261037411473
3440,171991,0.43333333333333335,0.43333333333333335,17.08108108108108,18.72222222222222,0.007153261037411473
3450,172491,0.43,0.43,16.682926829268293,20.77,0.007153261037411473
3460,172991,0.4,0.4,16.5,24.8,0.007153261037411473
3470,173491,0.41,0.41,16.28,28.89,0.007153261037411473
3480,173991,0.42,0.42,16.25925925925926,33.0,0.007153261037411473
3490,174491,0.43,0.43,16.559322033898304,37.12,0.007153261037411473
3500,174991,0.41,0.41,16.57377049180328,41.22,0.007153261037411473
3510,175490,0.41,0.41,16.984375,45.18,0.007153261037411473
3520,175990,0.4,0.4,17.059701492537314,49.17,0.007153261037411473
3530,176490,0.41,0.41,17.180555555555557,53.17,0.007153261037411473
3540,176990,0.39,0.39,17.094594594594593,56.95,0.007153261037411473
3550,177490,0.38,0.38,16.87012987012987,60.57,0.007153261037411473
3560,177990,0.44,0.44,16.576470588235296,64.42,0.007153261037411473
3570,178489,0.42,0.42,16.325842696629213,68.34,0.007153261037411473
3580,178989,0.42,0.42,16.817204301075268,72.19,0.007153261037411473
3590,179489,0.42,0.42,16.683673469387756,76.14,0.007153261037411473
3600,179989,0.42,0.42,16.68,80.04,0.007153261037411473
3610,180489,0.43,0.43,17.08,83.84,0.007153261037411473
3620,180989,0.45,0.45,17.01,87.25,0.007153261037411473
3630,181481,0.43,0.43,16.88,90.25,0.007153261037411473
3640,181981,0.46,0.46,16.85,92.98,0.007153261037411473
3650,182481,0.46,0.46,16.84,95.44,0.007153261037411473
3660,182981,0.42,0.42,16.35,97.33,0.007153261037411473
3670,183481,0.41,0.41,16.08,98.61,0.007153261037411473
3680,183981,0.42,0.42,16.5,99.51,0.007153261037411473
3690,184471,0.38,0.38,16.46,99.92,0.007153261037411473
3700,184971,0.41,0.41,16.16,100.0,0.007153261037411473
3710,185471,0.41,0.41,16.15,100.0,0.007153261037411473
3720,185971,0.39,0.39,16.27,100.0,0.007153261037411473
3730,186471,0.39,0.39,16.54,100.0,0.007153261037411473
3740,186971,0.38,0.38,16.35,100.0,0.007153261037411473
3750,187470,0.38,0.38,16.66,100.0,0.007153261037411473
3760,187970,0.38,0.38,16.61,100.0,0.007153261037411473
3770,188466,0.36,0.36,16.48,100.0,0.007153261037411473
