episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef,clip_range
8360,416451,0.3,0.3,14.333333333333334,1.8,0.0096251941,0.197917745
8370,416943,0.2,0.2,13.75,2.55,0.0096247513,0.19791528500000002
8380,417435,0.2,0.2,14.166666666666666,3.466666666666667,0.0096243085,0.19791282500000001
8390,417935,0.275,0.275,11.818181818181818,4.75,0.0096238585,0.197910325
8400,418424,0.34,0.34,11.9375,6.6,0.0096234184,0.19790788
8410,418913,0.3,0.3,11.823529411764707,8.183333333333334,0.0096229783,0.19790543500000002
8420,419413,0.2857142857142857,0.2857142857142857,13.0,9.642857142857142,0.0096225283,0.197902935
8430,419912,0.2875,0.2875,13.727272727272727,10.9625,0.0096220792,0.19790044
8440,420412,0.28888888888888886,0.28888888888888886,14.44,12.422222222222222,0.0096216292,0.19789794000000002
8450,420891,0.27,0.27,14.23076923076923,13.73,0.0096211981,0.197895545
8460,421391,0.28,0.28,14.3,16.34,0.0096207481,0.19789304500000002
8470,421891,0.27,0.27,14.3,19.01,0.0096202981,0.197890545
8480,422391,0.27,0.27,13.84375,21.54,0.0096198481,0.197888045
8490,422891,0.26,0.26,14.444444444444445,24.08,0.0096193981,0.19788554500000002
8500,423383,0.21,0.21,14.135135135135135,26.35,0.0096189553,0.19788308500000001
8510,423883,0.28,0.28,14.204545454545455,28.83,0.0096185053,0.197880585
8520,424383,0.3,0.3,14.170212765957446,31.54,0.009618055300000001,0.197878085
8530,424883,0.3,0.3,13.84,34.43,0.0096176053,0.19787558500000002
8540,425371,0.3,0.3,13.452830188679245,37.18,0.0096171661,0.197873145
8550,425867,0.31,0.31,13.381818181818181,40.11,0.0096167197,0.197870665
8560,426367,0.29,0.29,13.385964912280702,42.88,0.009616269700000001,0.197868165
8570,426866,0.32,0.32,13.083333333333334,45.76,0.0096158206,0.19786567000000002
8580,427336,0.35,0.35,12.78125,48.87,0.0096153976,0.19786332
8590,427823,0.34,0.34,12.761194029850746,52.02,0.0096149593,0.19786088500000001
8600,428317,0.35,0.35,12.73913043478261,55.14,0.0096145147,0.197858415
8610,428814,0.29,0.29,12.647887323943662,58.14,0.0096140674,0.19785593
8620,429310,0.29,0.29,12.906666666666666,60.94,0.009613621000000001,0.19785345000000001
8630,429810,0.28,0.28,12.792207792207792,63.66,0.009613171,0.19785095
8640,430310,0.27,0.27,12.794871794871796,66.3,0.009612721,0.19784845
8650,430799,0.27,0.27,12.7125,68.72,0.0096122809,0.19784600500000002
8660,431290,0.27,0.27,12.71951219512195,71.25,0.009611839,0.19784355
8670,431790,0.26,0.26,12.963855421686747,73.65,0.009611389,0.19784105000000002
8680,432282,0.25,0.25,13.0,76.05,0.0096109462,0.19783859
8690,432782,0.23,0.23,12.909090909090908,78.25,0.0096104962,0.19783609000000002
8700,433282,0.26,0.26,12.602150537634408,80.54,0.0096100462,0.19783359
8710,433782,0.26,0.26,12.378947368421052,82.78,0.0096095962,0.19783109000000001
8720,434282,0.23,0.23,12.28125,84.98,0.0096091462,0.19782859
8730,434782,0.23,0.23,12.285714285714286,87.07,0.0096086962,0.19782609
8740,435282,0.25,0.25,12.73,89.22,0.0096082462,0.19782359000000002
8750,435779,0.26,0.26,12.73,91.32,0.0096077989,0.197821105
8760,436279,0.28,0.28,12.67,93.23,0.0096073489,0.197818605
8770,436779,0.28,0.28,12.61,94.95,0.0096068989,0.19781610500000002
8780,437279,0.26,0.26,12.7,96.38,0.0096064489,0.197813605
8790,437779,0.29,0.29,12.43,97.63,0.009605998900000001,0.19781110500000001
8800,438279,0.28,0.28,12.19,98.55,0.0096055489,0.197808605
8810,438779,0.26,0.26,12.19,99.22,0.009605098900000001,0.197806105
8820,439279,0.3,0.3,12.13,99.67,0.0096046489,0.19780360500000002
8830,439779,0.3,0.3,12.07,99.95,0.0096041989,0.197801105
8840,440276,0.27,0.27,11.99,100.0,0.0096037516,0.19779862
8850,440776,0.24,0.24,11.99,100.0,0.009603301600000001,0.19779612000000002
8860,441276,0.26,0.26,12.83,100.0,0.0096028516,0.19779362
8870,441776,0.27,0.27,12.26,100.0,0.009602401600000001,0.19779112000000001
