episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef,clip_range
8360,416451,0.3,0.3,11.666666666666666,1.8,0.0037532349999999997,0.16529575000000002
8370,416951,0.3,0.3,13.0,3.1,0.003745735,0.16525408333333333
8380,417445,0.3333333333333333,0.3333333333333333,13.7,4.566666666666666,0.003738324999999999,0.16521291666666665
8390,417920,0.3,0.3,12.333333333333334,6.275,0.0037311999999999996,0.16517333333333334
8400,418408,0.28,0.28,12.214285714285714,7.66,0.0037238799999999997,0.16513266666666665
8410,418899,0.26666666666666666,0.26666666666666666,12.125,8.9,0.0037165149999999992,0.16509174999999998
8420,419352,0.2714285714285714,0.2714285714285714,12.055555555555555,9.957142857142857,0.0037097199999999997,0.165054
8430,419843,0.2625,0.2625,12.85,11.1375,0.003702354999999999,0.16501308333333334
8440,420323,0.25555555555555554,0.25555555555555554,13.409090909090908,12.3,0.0036951549999999994,0.16497308333333333
8450,420818,0.26,0.26,13.2,13.45,0.0036877299999999993,0.16493183333333333
8460,421310,0.28,0.28,13.214285714285714,15.92,0.003680349999999999,0.16489083333333332
8470,421810,0.29,0.29,12.709677419354838,18.38,0.00367285,0.16484916666666666
8480,422290,0.32,0.32,11.805555555555555,20.98,0.0036656499999999995,0.16480916666666667
8490,422785,0.37,0.37,11.238095238095237,23.77,0.0036582249999999993,0.16476791666666668
8500,423266,0.37,0.37,11.454545454545455,26.78,0.0036510099999999997,0.16472783333333335
8510,423762,0.4,0.4,12.708333333333334,29.96,0.0036435699999999996,0.1646865
8520,424228,0.39,0.39,12.36,33.23,0.0036365799999999986,0.16464766666666666
8530,424709,0.4,0.4,12.415094339622641,36.45,0.003629365,0.16460758333333333
8540,425209,0.43,0.43,12.241379310344827,39.82,0.0036218649999999993,0.16456591666666667
8550,425709,0.46,0.46,12.666666666666666,43.44,0.0036143649999999996,0.16452424999999998
8560,426183,0.43,0.43,12.430769230769231,47.23,0.003607255,0.16448475
8570,426644,0.42,0.42,12.25,50.98,0.0036003399999999996,0.16444633333333333
8580,427126,0.39,0.39,12.027777777777779,54.65,0.003593109999999999,0.16440616666666666
8590,427589,0.34,0.34,11.95945945945946,58.06,0.0035861649999999997,0.16436758333333334
8600,428064,0.36,0.36,11.922077922077921,61.33,0.0035790399999999995,0.164328
8610,428564,0.39,0.39,12.404761904761905,64.69,0.00357154,0.16428633333333334
8620,429061,0.4,0.4,12.379310344827585,68.44,0.003564085,0.16424491666666666
8630,429527,0.4,0.4,12.266666666666667,72.16,0.0035570949999999997,0.16420608333333334
8640,430016,0.41,0.41,12.23157894736842,75.84,0.00354976,0.16416533333333333
8650,430468,0.37,0.37,12.123711340206185,79.42,0.0035429799999999994,0.16412766666666667
8660,430930,0.39,0.39,12.05,82.86,0.00353605,0.16408916666666667
8670,431430,0.37,0.37,11.88,86.21,0.00352855,0.1640475
8680,431896,0.37,0.37,11.92,89.19,0.00352156,0.16400866666666666
8690,432379,0.37,0.37,11.84,91.85,0.0035143149999999996,0.16396841666666667
8700,432865,0.38,0.38,11.93,94.25,0.0035070249999999996,0.16392791666666667
8710,433359,0.32,0.32,11.87,96.2,0.0034996149999999993,0.16388675
8720,433841,0.32,0.32,11.62,97.55,0.0034923849999999998,0.16384658333333332
8730,434308,0.33,0.33,11.63,98.67,0.0034853799999999997,0.16380766666666666
8740,434783,0.29,0.29,11.48,99.46,0.0034782549999999987,0.16376808333333331
8750,435270,0.31,0.31,11.24,99.88,0.0034709499999999987,0.1637275
8760,435765,0.31,0.31,11.19,100.0,0.0034635249999999994,0.16368625
8770,436265,0.35,0.35,11.4,100.0,0.003456024999999999,0.16364458333333332
8780,436694,0.37,0.37,11.39,100.0,0.003449589999999999,0.16360883333333331
8790,437184,0.36,0.36,11.61,100.0,0.00344224,0.163568
8800,437680,0.33,0.33,11.6,100.0,0.003434799999999999,0.16352666666666665
8810,438180,0.39,0.39,11.31,100.0,0.0034273000000000003,0.163485
